2025-04-10T16:16:06.994575,60,c6b5,-337,Mistake,50,This move weakens your position. Look ahead at possible counter-plays.
2025-04-10T16:16:06.994576,61,c4b5,-350,Excellent,100,
2025-04-10T16:16:06.994577,62,f2e3,-359,Excellent,90,
2025-04-10T16:16:06.994578,63,d2e1,-345,Excellent,100,
2025-04-10T16:16:06.994579,64,g5g4,-299,Inaccuracy,70,Consider looking for stronger responses next time. Think about your opponent's threats.
2025-04-10T16:16:06.994581,65,a2a4,-278,Excellent,100,
2025-04-10T16:16:06.994582,66,h4h3,-49,Mistake,50,This move weakens your position. Look ahead at possible counter-plays.
2025-04-10T16:16:06.994584,67,g2h3,-58,Excellent,100,
2025-04-10T16:16:06.994585,68,g4h3,-83,Excellent,100,
2025-04-10T16:16:06.994586,69,e1d1,-214,Mistake,50,This move weakens your position. Look ahead at possible counter-plays.
2025-04-10T16:16:06.994587,70,d4c3,-199,Inaccuracy,70,Consider looking for stronger responses next time. Think about your opponent's threats.
2025-04-10T16:16:06.994589,71,a1a3,-279,Inaccuracy,100,Consider looking for stronger responses next time. Think about your opponent's threats.
2025-04-10T16:16:06.994590,72,c3d4,-140,Mistake,50,This move weakens your position. Look ahead at possible counter-plays.
2025-04-10T16:16:06.994592,73,a3b3,-321,Mistake,50,This move weakens your position. Look ahead at possible counter-plays.
2025-04-10T16:16:06.994593,74,e3f4,-181,Mistake,50,This move weakens your position. Look ahead at possible counter-plays.
2025-04-10T16:16:06.994595,75,b3b4,-283,Mistake,50,This move weakens your position. Look ahead at possible counter-plays.
2025-04-10T16:16:06.994596,76,d4e3,-308,Inaccuracy,100,Consider looking for stronger responses next time. Think about your opponent's threats.
2025-04-10T16:16:06.994598,77,a4a5,-318,Excellent,90,
2025-04-10T16:16:06.994599,78,f4h2,-318,Excellent,100,
2025-04-10T16:16:06.994600,79,b5b6,-303,Excellent,90,
2025-04-10T16:16:06.994601,80,a7b6,-309,Excellent,100,
2025-04-10T16:16:06.994602,81,a5b6,-327,Excellent,90,
2025-04-10T16:16:06.994603,82,h2b8,-316,Excellent,90,
2025-04-10T16:16:06.994604,83,b4h4,-321,Excellent,100,
2025-04-10T16:16:06.994605,84,h3h2,-338,Excellent,100,
2025-04-10T16:16:06.994606,85,d1e1,-9993,Blunder,0,"This is a major oversight. Review tactics like forks, pins, and skewers."
2025-04-10T16:16:06.994608,86,d3e2,-372,Blunder,0,"This is a major oversight. Review tactics like forks, pins, and skewers."
2025-04-10T16:16:06.994609,87,h4h8,-9999,Blunder,0,"This is a major oversight. Review tactics like forks, pins, and skewers."
2025-04-10T16:16:06.994611,88,h2h1q,-9999,Best,90,
2025-04-10T16:16:06.994612,89,h8h1,-9999,Best,100,
2025-04-10T16:16:06.994613,90,b8g3,-10000,Excellent,100,
2025-04-10T16:28:25.406428,1,e2e4,43,Excellent,100,,
2025-04-10T16:28:25.406433,2,e7e5,34,Excellent,100,,
2025-04-10T16:28:25.406434,3,d2d4,6,Inaccuracy,70,Consider looking for stronger responses next time. Think about your opponent's threats.,Recommended move: g1f3
2025-04-10T16:28:25.406436,4,b8c6,71,Inaccuracy,70,Consider looking for stronger responses next time. Think about your opponent's threats.,Recommended move: e5d4
